ingredient,matched_name,density
cottage cheese,"Cheese, cottage, creamed, large or small curd",0.888
strawberries,"Strawberries, raw",0.644
garden salad,"Asian chicken or turkey garden salad (chicken and/or turkey, lettuce, fruit, nuts), no dressing",0.38
bacon,"Pork bacon, NS as to fresh, smoked or cured, cooked (pieces)",0.34
potatoes,"Babyfood, potatoes, toddler",0.688
caesar salad,"Caesar salad (with romaine), no dressing",0.332
cauliflower,"Cauliflower, raw",0.452
wild rice,"Flavored rice, brown and wild",0.916
steak,"Beef steak, NS as to cooking method, NS as to fat eaten (boneless, cooked)",1.036
olives,"Olives, ripe, canned (small-extra large)",0.568
berries,"Berries, raw, NFS",0.608
asparagus,"Asparagus, raw",0.568
hash browns,"DENNY'S, hash browns",0.396
brussels sprouts,"Brussels sprouts, raw",0.372
pasta salad,Macaroni or pasta salad with cheese,0.864
turkey,"Babyfood, meat, turkey, junior",1.284
bread,"Bread, white",0.168
scrambled eggs,"Scrambled eggs with jerked beef, Puerto Rican style (Revoltillo de tasajo)",0.592
duck,"Duck, domesticated, meat and skin, cooked, roasted (chopped or diced)",0.592
brown rice,"Rice, brown, cooked, fat not added in cooking (cooked)",0.824
squash,"Squash, summer, all varieties, raw (sliced)",0.476
beef,Beef (roast) hash,0.804
white rice,"Rice, white, long-grain, regular, enriched, cooked",0.668
broccoli,"Broccoli, cooked, boiled, drained, without salt (chopped)",0.66
lettuce,"Lettuce, raw (loosely packed)",0.148
tomatoes,"Tomatoes, canned, red, ripe, diced",1.036
celery,"Celery, raw",0.508
blue cheese,"Cheese, blue",1.036
spinach (raw),"Spinach, raw",0.128
cantaloupe,"Cantaloupe (muskmelon), raw",0.66
pineapple,"Pineapple, raw",0.732
sausage,"Sausage (not cold cut), NFS",0.584
raspberries,"Raspberries, raw",0.52
blackberries,"Blackberries, raw",0.608
avocado,Avocado dressing,1.036
bean sprouts,"Bean sprouts, cooked, from canned, fat added in cooking",0.544
